seed_asv_reads	description	accession	identity_percentage	evalue	bitscore
motu19	Liopsetta glacialis voucher UW:150678 mitochondrion, complete genome >gi|2569352801|gb|OR482538.1| Liopsetta glacialis voucher UW:150678 mitochondrion, complete genome	NC_082783	99.41	7.22333e-79	166.0
motu19	Platichthys stellatus x Verasper variegatus mitochondrion, complete genome >gi|2564706964|gb|OR282488.1| Platichthys stellatus x Verasper variegatus mitochondrion, complete genome	NC_082285	99.41	7.22333e-79	166.0
motu19	Lepidopsetta bilineata mitochondrial gene for 12S rRNA, partial sequence, specimen_voucher: HUMZ:203481	LC049658	99.41	7.22333e-79	166.0
motu19	Lepidopsetta mochigarei mitochondrial gene for 12S rRNA, partial sequence, specimen_voucher: HUMZ:192252	LC049640	99.41	7.22333e-79	166.0
motu19	Lepidopsetta mochigarei mitochondrial gene for 12S rRNA, partial sequence, specimen_voucher: HUMZ:164990	LC049639	99.41	7.22333e-79	166.0
motu19	Lepidopsetta polyxystra mitochondrial gene for 12S rRNA, partial sequence, specimen_voucher: UW:048789 >gi|1018242340|dbj|LC145934.1| Lepidopsetta polyxystra mitochondrial gene for 12S rRNA, partial sequence, specimen_voucher: UW:151140	LC092091	99.41	7.22333e-79	166.0
motu19	Platichthys stellatus x (Kareius bicoloratus x Platichthys stellatus) mitochondrion, complete genome >gi|2501523860|gb|OQ656299.1| Platichthys stellatus x (Kareius bicoloratus x Platichthys stellatus) mitochondrion, complete genome	NC_080271	99.41	7.22333e-79	166.0
motu19	Kareius bicoloratus x Platichthys stellatus mitochondrion, complete genome >gi|2501523832|gb|OQ656297.1| Kareius bicoloratus x Platichthys stellatus mitochondrion, complete genome	NC_080270	99.41	7.22333e-79	166.0
motu19	Platichthys stellatus voucher FISHCARD_miu_423.1 small subunit ribosomal RNA gene, partial sequence; mitochondrial	OQ846450	99.41	7.22333e-79	166.0
motu19	Lepidopsetta bilineata voucher FISHCARD_miu_421.1 small subunit ribosomal RNA gene, partial sequence; mitochondrial	OQ846448	99.41	7.22333e-79	166.0
motu19	Platichthys stellatus voucher #04-103 small subunit ribosomal RNA gene, partial sequence; mitochondrial	OQ846124	99.41	7.22333e-79	166.0
motu19	Platichthys stellatus mitochondrial gene for 12S rRNA, partial sequence, specimen_voucher: CBM:ZF:15292 >gi|985566054|dbj|LC049632.1| Liopsetta pinnifasciata mitochondrial gene for 12S rRNA, partial sequence, specimen_voucher: CBM:ZF:14475 >gi|985566084|dbj|LC049662.1| Liopsetta pinnifasciata mitochondrial gene for 12S rRNA, partial sequence, specimen_voucher: HUMZ:216652 >gi|1018241271|dbj|LC145946.1| Platichthys stellatus mitochondrial gene for 12S rRNA, partial sequence, specimen_voucher: UW:154563 >gi|1018241272|dbj|LC145947.1| Platichthys stellatus mitochondrial gene for 12S rRNA, partial sequence, specimen_voucher: UW:155499 >gi|1018241274|dbj|LC145949.1| Platichthys stellatus mitochondrial gene for 12S rRNA, partial sequence, specimen_voucher: CBM:ZF:12417-21 >gi|1018241276|dbj|LC145951.1| Platichthys stellatus x Parophrys vetulus mitochondrial gene for 12S rRNA, partial sequence, specimen_voucher: UW:025860 >gi|2028741891|gb|MW995373.1| Platichthys flesus voucher P855954 small subunit ribosomal RNA gene, partial sequence; mitochondrial	AB972099	99.41	7.22333e-79	166.0
motu19	Platichthys flesus genome assembly, organelle: mitochondrion	OX438740	99.41	7.22333e-79	166.0
motu19	Platichthys stellatus mitochondrion, complete genome	OL471033	99.41	7.22333e-79	166.0
motu19	Platichthys stellatus mitochondrion, complete genome	OL404931	99.41	7.22333e-79	166.0
motu19	Platichthys stellatus mitochondrion, complete genome	MZ365029	99.41	7.22333e-79	166.0
motu19	Platichthys flesus isolate SEA0195 small subunit ribosomal RNA gene, partial sequence; mitochondrial	MW818260	99.41	7.22333e-79	166.0
motu19	Platichthys flesus isolate SEA0113 small subunit ribosomal RNA gene, partial sequence; mitochondrial	MW818207	99.41	7.22333e-79	166.0
motu19	Platichthys flesus isolate SEA0112 small subunit ribosomal RNA gene, partial sequence; mitochondrial	MW818206	99.41	7.22333e-79	166.0
motu19	Platichthys stellatus mitochondrion, complete genome >gi|157041433|gb|EF424428.1| Platichthys stellatus mitochondrion, complete genome	NC_010966	99.41	7.22333e-79	166.0
motu19	Platichthys stellatus 12S ribosomal RNA gene, partial sequence; mitochondrial gene for mitochondrial product	AF488482	99.41	7.22333e-79	166.0
motu19	Lepidopsetta bilineata 12S ribosomal RNA gene, partial sequence; mitochondrial gene for mitochondrial product	AF488479	99.41	7.22333e-79	166.0
motu19	Pleuronectes quadrituberculatus mitochondrion, partial genome	OR499731	98.82	3.36069e-77	163.0
motu19	Hippoglossoides elassodon voucher UW:47659 mitochondrion, complete genome >gi|2569353137|gb|OR482562.1| Hippoglossoides elassodon voucher UW:47659 mitochondrion, complete genome	NC_082804	98.82	3.36069e-77	163.0
motu19	Myzopsetta proboscidea voucher UW:117294 mitochondrion, complete genome >gi|2569352605|gb|OR482524.1| Myzopsetta proboscidea voucher UW:117294 mitochondrion, complete genome	NC_082770	98.82	3.36069e-77	163.0
motu19	Hippoglossoides robustus voucher UW:117291 mitochondrion, complete genome >gi|2569352591|gb|OR482523.1| Hippoglossoides robustus voucher UW:117291 mitochondrion, complete genome	NC_082769	98.82	3.36069e-77	163.0
motu19	Limanda sakhalinensis voucher UW:117279 mitochondrion, complete genome >gi|2569352577|gb|OR482522.1| Limanda sakhalinensis voucher UW:117279 mitochondrion, complete genome	NC_082768	98.82	3.36069e-77	163.0
motu56	Artedius harringtoni mitochondrial gene for 12S rRNA, partial sequence, specimen_voucher: UW:113230 >gi|985563238|dbj|LC091921.1| Artedius harringtoni mitochondrial gene for 12S rRNA, partial sequence, specimen_voucher: UW:118837	LC091920	100.00	1.21825e-81	171.0
motu56	Artedius harringtoni voucher #06-4 small subunit ribosomal RNA gene, partial sequence; mitochondrial	OQ846532	100.00	1.21825e-81	171.0
motu56	Artedius lateralis isolate SS3-s01 small subunit ribosomal RNA gene, partial sequence; mitochondrial	OK172570	93.49	3.4844e-62	136.0
motu56	Artedius lateralis mitochondrial gene for 12S rRNA, partial sequence, specimen_voucher: UW:118838	LC091922	92.90	1.62113e-60	133.0
motu56	Artedius corallinus voucher #01-124 small subunit ribosomal RNA gene, partial sequence; mitochondrial	OQ846275	92.90	5.83063e-60	132.0
motu60	No Results
motu103	Paralabrax nebulifer voucher FISHCARD_miu_699.1 small subunit ribosomal RNA gene, partial sequence; mitochondrial	OQ846723	100.00	1.55255e-80	169.0
motu103	Paralabrax nebulifer voucher FISHCARD_miu_688.1 small subunit ribosomal RNA gene, partial sequence; mitochondrial	OQ846712	100.00	1.55255e-80	169.0
motu103	Paralabrax nebulifer voucher FISHCARD_miu_683.1 small subunit ribosomal RNA gene, partial sequence; mitochondrial	OQ846707	100.00	1.55255e-80	169.0
motu103	Paralabrax nebulifer voucher FISHCARD_miu_678.1 small subunit ribosomal RNA gene, partial sequence; mitochondrial	OQ846702	100.00	1.55255e-80	169.0
motu103	Paralabrax nebulifer voucher FISHCARD_miu_676.1 small subunit ribosomal RNA gene, partial sequence; mitochondrial	OQ846700	100.00	1.55255e-80	169.0
motu103	Paralabrax nebulifer voucher #08-11 small subunit ribosomal RNA gene, partial sequence; mitochondrial	OQ846607	100.00	1.55255e-80	169.0
motu103	Paralabrax nebulifer voucher LACM:DISCO 13443 small subunit ribosomal RNA gene, partial sequence; mitochondrial	MW575789	100.00	1.55255e-80	169.0
motu103	Paralabrax nebulifer voucher LACM:DISCO 13432 small subunit ribosomal RNA gene, partial sequence; mitochondrial	MW575779	100.00	1.55255e-80	169.0
motu103	Paralabrax nebulifer voucher LACM:DISCO 13427 small subunit ribosomal RNA gene, partial sequence; mitochondrial	MW575774	100.00	1.55255e-80	169.0
motu103	Paralabrax nebulifer voucher LACM:DISCO 13422 small subunit ribosomal RNA gene, partial sequence; mitochondrial	MW575769	100.00	1.55255e-80	169.0
motu103	Paralabrax nebulifer voucher LACM:DISCO 13420 small subunit ribosomal RNA gene, partial sequence; mitochondrial	MW575767	100.00	1.55255e-80	169.0
motu103	Paralabrax auroguttatus voucher #64-235 small subunit ribosomal RNA gene, partial sequence; mitochondrial	OQ846391	98.82	3.36069e-77	163.0
motu103	Paralabrax clathratus voucher FISHCARD_miu_692.1 small subunit ribosomal RNA gene, partial sequence; mitochondrial	OQ846716	97.63	7.27462e-74	157.0
motu103	Paralabrax clathratus voucher FISHCARD_miu_686.1 small subunit ribosomal RNA gene, partial sequence; mitochondrial	OQ846710	97.63	7.27462e-74	157.0
motu103	Paralabrax clathratus voucher #01-179 small subunit ribosomal RNA gene, partial sequence; mitochondrial	OQ846392	97.63	7.27462e-74	157.0
motu103	Paralabrax clathratus voucher LACM:DISCO 13436 small subunit ribosomal RNA gene, partial sequence; mitochondrial	MW575782	97.63	7.27462e-74	157.0
motu103	Paralabrax clathratus voucher LACM:DISCO 13430 small subunit ribosomal RNA gene, partial sequence; mitochondrial	MW575777	97.63	7.27462e-74	157.0
motu103	Paralabrax maculatofasciatus voucher FISHCARD_miu_695.1 small subunit ribosomal RNA gene, partial sequence; mitochondrial	OQ846719	93.49	3.43278e-62	136.0
motu103	Paralabrax maculatofasciatus voucher #98-34 small subunit ribosomal RNA gene, partial sequence; mitochondrial	OQ846393	93.49	3.43278e-62	136.0
motu103	Paralabrax maculatofasciatus voucher LACM:DISCO 13439 small subunit ribosomal RNA gene, partial sequence; mitochondrial	MW575785	93.49	3.43278e-62	136.0
motu103	Serranus scriba mitochondrion, complete genome >gi|2230636021|gb|OK054501.1| Serranus scriba mitochondrion, complete genome	NC_063619	91.12	1.60846e-55	124.0
motu103	Serranus papilionaceus mitochondrion, complete genome >gi|2230636007|gb|OK054500.1| Serranus papilionaceus mitochondrion, complete genome	NC_063618	91.12	1.60846e-55	124.0
motu103	Serranus cabrilla voucher Serranus.cabrilla_2_12S.rRNA_partial small subunit ribosomal RNA gene, partial sequence; mitochondrial	MT903902	90.91	2.69151e-53	120.0
motu98	Hypsoblennius gentilis voucher many small subunit ribosomal RNA gene, partial sequence; mitochondrial	OQ846091	100.00	2.00836e-79	167.0
motu98	Hypsoblennius jenkinsi voucher #17-23 small subunit ribosomal RNA gene, partial sequence; mitochondrial	OQ846100	94.05	9.5444e-63	137.0
motu98	Hypsoblennius gentilis 12S ribosomal RNA gene, mitochondrial gene for mitochondrial RNA, partial sequence	U90389	99.25	7.43066e-59	130.0
motu98	Hypsoblennius ionthas isolate LT232 small subunit ribosomal RNA gene, partial sequence; mitochondrial	OP221669	91.76	3.45715e-57	127.0
motu98	Hypsoblennius ionthas voucher USNM:FISH:451214 small subunit ribosomal RNA gene, partial sequence; mitochondrial >gi|2557040595|gb|OR380642.1| Hypsoblennius ionthas voucher USNM:FISH:451215 small subunit ribosomal RNA gene, partial sequence; mitochondrial >gi|2557040596|gb|OR380643.1| Hypsoblennius ionthas voucher USNM:FISH:451216 small subunit ribosomal RNA gene, partial sequence; mitochondrial >gi|2557040597|gb|OR380644.1| Hypsoblennius ionthas voucher USNM:FISH:451217 small subunit ribosomal RNA gene, partial sequence; mitochondrial >gi|2557040598|gb|OR380645.1| Hypsoblennius ionthas voucher USNM:FISH:451218 small subunit ribosomal RNA gene, partial sequence; mitochondrial >gi|2557040599|gb|OR380646.1| Hypsoblennius ionthas voucher USNM:FISH:451219 small subunit ribosomal RNA gene, partial sequence; mitochondrial	OR380641	92.12	4.47211e-56	125.0
motu98	Hypleurochilus geminatus voucher USNM:FISH:416870 mitochondrion, complete genome	OP035308	90.91	9.68041e-53	119.0
motu98	Hypleurochilus springeri voucher USNM:FISH:416518 mitochondrion, complete genome >gi|2576858222|gb|OR546219.1| Hypleurochilus springeri voucher USNM:FISH:416518 mitochondrion, complete genome	NC_083056	90.91	9.68041e-53	119.0
motu98	Hypleurochilus geminatus voucher USNM:FISH:447370 small subunit ribosomal RNA gene, partial sequence; mitochondrial	OR380577	90.24	4.50386e-51	116.0
motu98	Hypsoblennius gilberti voucher many small subunit ribosomal RNA gene, partial sequence; mitochondrial	OQ846090	90.30	4.50386e-51	116.0
motu98	Hypsoblennius gilberti 12S ribosomal RNA gene, mitochondrial gene for mitochondrial RNA, partial sequence	U90390	93.23	1.63138e-45	106.0
motu118	Gobiesox maeandricus mitochondrial gene for 12S rRNA, partial sequence, specimen_voucher: UW:151675 >gi|985563356|dbj|LC092039.1| Gobiesox maeandricus mitochondrial gene for 12S rRNA, partial sequence, specimen_voucher: UW:151684 >gi|985563357|dbj|LC092040.1| Gobiesox maeandricus mitochondrial gene for 12S rRNA, partial sequence, specimen_voucher: UW:155540	LC092038	99.41	7.22333e-79	166.0
motu118	Gobiesox maeandricus voucher #06-42 small subunit ribosomal RNA gene, partial sequence; mitochondrial	OQ846042	99.41	7.22333e-79	166.0
motu118	Gobiesox rhessodon voucher #09-170 small subunit ribosomal RNA gene, partial sequence; mitochondrial	OQ846609	92.90	1.59712e-60	133.0
motu118	Gobiesox rhessodon voucher NA small subunit ribosomal RNA gene, partial sequence; mitochondrial	OQ846074	92.90	1.59712e-60	133.0
motu113	MAG: uncultured Pelomonas sp. isolate 9c715bbf-a9e2-4c31-b35f-bd28e5728fbc genome assembly, chromosome: 32	OY820680	91.18	2.6818e-42	100.0
motu144	Uncultured bacterium clone 7F_2110_18943_8666 16S ribosomal RNA gene, partial sequence >gi|1841577957|gb|MT464796.1| Uncultured Rhodospirillaceae bacterium clone OTU_303 16S ribosomal RNA gene, partial sequence.	MG876622	100.00	5.10872e-127	253.0
motu144	Uncultured bacterium clone 3E_2108_24587_5290 16S ribosomal RNA gene, partial sequence	MG875974	100.00	5.10872e-127	253.0
motu144	Uncultured Alphaproteobacteria bacterium clone AG-453-D10 16S ribosomal RNA gene, partial sequence	MH077099	100.00	5.10872e-127	253.0
motu144	Uncultured marine bacterium clone OTU35 16S ribosomal RNA gene, partial sequence	KU937427	100.00	5.10872e-127	253.0
motu144	Pelagibacterales bacterium LSUCC0245 16S ribosomal RNA gene, partial sequence	KU382423	100.00	5.10872e-127	253.0
motu144	Uncultured bacterium isolate KWKB08_99 16S ribosomal RNA gene, partial sequence	KP262789	100.00	5.10872e-127	253.0
motu144	Uncultured marine bacterium clone BIOS04_HNL_80m165 16S ribosomal RNA gene, partial sequence	KM223424	100.00	5.10872e-127	253.0
motu144	Uncultured bacterium clone EXA-Snow-E10 16S ribosomal RNA gene, partial sequence	KF928837	100.00	5.10872e-127	253.0
motu144	Uncultured bacterium clone OTU_8 16S ribosomal RNA gene, partial sequence	ON195827	100.00	5.10872e-127	253.0
motu144	Uncultured alpha proteobacterium clone S3D 16S ribosomal RNA gene, partial sequence	KJ870971	100.00	5.10872e-127	253.0
motu144	Uncultured bacterium clone BL_Jun2011_2,5m_H1 16S ribosomal RNA gene, partial sequence	KF817313	100.00	5.10872e-127	253.0
motu144	Uncultured bacterium clone BL_Jun2011_2,5m_A2 16S ribosomal RNA gene, partial sequence	KF817275	100.00	5.10872e-127	253.0
motu144	Uncultured bacterium clone BL_May2009_3m_B08 16S ribosomal RNA gene, partial sequence	KF817149	100.00	5.10872e-127	253.0
motu144	Uncultured bacterium clone BL_Sep2011_2,5m_H07 16S ribosomal RNA gene, partial sequence	KF817132	100.00	5.10872e-127	253.0
motu144	Uncultured bacterium clone BL_Sep2011_2,5m_E04 16S ribosomal RNA gene, partial sequence	KF817097	100.00	5.10872e-127	253.0
motu144	Uncultured bacterium clone BF_Sep2011_5m_F10 16S ribosomal RNA gene, partial sequence	KF816886	100.00	5.10872e-127	253.0
motu144	Uncultured bacterium clone BF_Sep2011_5m_B08 16S ribosomal RNA gene, partial sequence	KF816849	100.00	5.10872e-127	253.0
motu144	Uncultured bacterium clone SeaWat_51752 16S ribosomal RNA gene, partial sequence	JQ199595	100.00	5.10872e-127	253.0
motu144	Uncultured bacterium clone SeaWat_51533 16S ribosomal RNA gene, partial sequence	JQ199576	100.00	5.10872e-127	253.0
motu144	Uncultured bacterium clone SeaWat_51042 16S ribosomal RNA gene, partial sequence	JQ199446	100.00	5.10872e-127	253.0
motu144	Uncultured bacterium clone SeaWat_35584 16S ribosomal RNA gene, partial sequence	JQ198534	100.00	5.10872e-127	253.0
motu144	Uncultured bacterium clone SeaWat_71278 16S ribosomal RNA gene, partial sequence	JQ198264	100.00	5.10872e-127	253.0
motu144	Uncultured bacterium clone SeaWat_71037 16S ribosomal RNA gene, partial sequence	JQ198032	100.00	5.10872e-127	253.0
motu144	Uncultured bacterium clone SeaWat_71353 16S ribosomal RNA gene, partial sequence	JQ197839	100.00	5.10872e-127	253.0
motu144	Uncultured bacterium clone SeaWat_67678 16S ribosomal RNA gene, partial sequence	JQ197607	100.00	5.10872e-127	253.0
motu144	Uncultured bacterium clone SeaWat_67495 16S ribosomal RNA gene, partial sequence	JQ197517	100.00	5.10872e-127	253.0
motu144	Uncultured bacterium clone SeaWat_O282 16S ribosomal RNA gene, partial sequence	JQ196375	100.00	5.10872e-127	253.0
motu144	Uncultured bacterium clone SeaWat_O372 16S ribosomal RNA gene, partial sequence	JQ196287	100.00	5.10872e-127	253.0
motu144	Uncultured bacterium clone SeaWat_O292 16S ribosomal RNA gene, partial sequence	JQ196281	100.00	5.10872e-127	253.0
motu144	Uncultured bacterium clone SeaWat_G325 16S ribosomal RNA gene, partial sequence	JQ195582	100.00	5.10872e-127	253.0
motu144	Uncultured bacterium clone SeaWat_G306 16S ribosomal RNA gene, partial sequence	JQ195543	100.00	5.10872e-127	253.0
motu144	Uncultured alpha proteobacterium clone 0307_BHM2_41 16S ribosomal RNA gene, partial sequence	JQ515657	100.00	5.10872e-127	253.0
motu144	Uncultured bacterium clone A0_21 16S ribosomal RNA gene, partial sequence	JQ731908	100.00	5.10872e-127	253.0
motu144	Uncultured bacterium clone S62_013 16S ribosomal RNA gene, partial sequence	KC873507	100.00	5.10872e-127	253.0
motu144	Uncultured bacterium clone S62_004 16S ribosomal RNA gene, partial sequence	KC873498	100.00	5.10872e-127	253.0
motu144	Uncultured bacterium clone S30_004 16S ribosomal RNA gene, partial sequence	KC872791	100.00	5.10872e-127	253.0
motu144	Uncultured bacterium clone 230073 16S ribosomal RNA gene, partial sequence	MW548769	100.00	5.10872e-127	253.0
motu144	Uncultured bacterium clone BF2010_Aug_5m_A8 16S ribosomal RNA gene, partial sequence	JX864510	100.00	5.10872e-127	253.0
motu144	Unidentified marine bacterioplankton clone P4-3B_37 16S ribosomal RNA gene, partial sequence	KC001726	100.00	5.10872e-127	253.0
motu144	Alpha proteobacterium HIMB59 chromosome, complete genome	CP003801	100.00	5.10872e-127	253.0
motu144	Uncultured bacterium clone OTU_3 16S ribosomal RNA gene, partial sequence	MT774784	100.00	5.10872e-127	253.0
motu144	Uncultured marine bacterium clone SiDSep07M92 16S ribosomal RNA gene, partial sequence	GU326940	100.00	5.10872e-127	253.0
motu144	Uncultured marine bacterium clone SiDSep07M84 16S ribosomal RNA gene, partial sequence	GU326931	100.00	5.10872e-127	253.0
motu144	Uncultured marine bacterium clone SiDJun08M92 16S ribosomal RNA gene, partial sequence	GU326566	100.00	5.10872e-127	253.0
motu144	Uncultured marine bacterium clone SiDDec07F143 16S ribosomal RNA gene, partial sequence	GQ385662	100.00	5.10872e-127	253.0
motu144	Uncultured marine bacterium clone SiDDec07M169 16S ribosomal RNA gene, partial sequence	GQ385385	100.00	5.10872e-127	253.0
motu144	Uncultured marine bacterium clone SiDDec07M128 16S ribosomal RNA gene, partial sequence	GQ385359	100.00	5.10872e-127	253.0
motu144	Uncultured alpha proteobacterium clone ARTE1_103 16S ribosomal RNA gene, partial sequence	GU230260	100.00	5.10872e-127	253.0
motu144	Uncultured alpha proteobacterium clone ARTE9_122 16S ribosomal RNA gene, partial sequence	GU230259	100.00	5.10872e-127	253.0
motu144	Uncultured marine bacterium clone BM1-8-73 16S ribosomal RNA gene, partial sequence	FJ826061	100.00	5.10872e-127	253.0
motu128	Uncultured bacterium clone SEAS_5454 16S ribosomal RNA gene, partial sequence	KU677841	99.18	1.12909e-118	238.0
motu128	Uncultured cyanobacterium clone CNSD07 16S ribosomal RNA gene, partial sequence	JF929274	96.88	2.44405e-115	232.0
motu128	Uncultured bacterium clone T0-An-20C-34 16S ribosomal RNA gene, complete sequence	JX105545	96.48	1.13711e-113	229.0
motu128	Uncultured bacterium clone HCM3MC83_3A_FL 16S ribosomal RNA gene, partial sequence	EU374047	94.92	1.91629e-106	216.0
motu128	Uncultured bacterium clone OTU_247 16S ribosomal RNA gene, partial sequence	KX602950	99.04	1.1615e-98	202.0
motu128	Uncultured bacterium clone T1D22J1DIN 16S ribosomal RNA gene, partial sequence	HM613654	98.51	4.20715e-93	192.0
motu128	Uncultured bacterium clone T1D51ISFTQ 16S ribosomal RNA gene, partial sequence	HM618535	97.51	9.10689e-90	186.0
motu128	Uncultured bacterium clone T0D01IIRSW 16S ribosomal RNA gene, partial sequence >gi|302158515|gb|HM609040.1| Uncultured bacterium clone T1D21HDBFC 16S ribosomal RNA gene, partial sequence >gi|302159121|gb|HM609646.1| Uncultured bacterium clone T1D21GQ8GI 16S ribosomal RNA gene, partial sequence >gi|302159156|gb|HM609681.1| Uncultured bacterium clone T1D21F68XE 16S ribosomal RNA gene, partial sequence >gi|302160334|gb|HM610859.1| Uncultured bacterium clone T1D21F3LB2 16S ribosomal RNA gene, partial sequence	HM603614	97.01	4.23702e-88	183.0
motu128	Uncultured bacterium clone T1D22HPLDQ 16S ribosomal RNA gene, partial sequence	HM612275	96.57	5.48093e-87	181.0
motu128	uncultured Parcubacteria group bacterium DNA containing 16S-23S intergenic spacer region, clone 43 >gi|2237333880|emb|OW749368.1| uncultured Parcubacteria group bacterium DNA containing 16S-23S intergenic spacer region, clone 43	OW539214	90.61	3.29867e-84	176.0
motu128	Uncultured bacterium clone T1D51G3TYM 16S ribosomal RNA gene, partial sequence	HM617680	95.52	4.2671e-83	174.0
motu128	Candidatus Kaiserbacteria bacterium DNA containing 16S-23S intergenic spacer region, clone 43 >gi|2237345346|emb|OW760695.1| Candidatus Kaiserbacteria bacterium DNA containing 16S-23S intergenic spacer region, clone 43	OW537837	90.20	1.53472e-82	173.0
motu132	Atractoscion nobilis small subunit ribosomal RNA gene, partial sequence; mitochondrial	OQ846726	100.00	5.54199e-80	168.0
motu132	Cynoscion striatus mitochondrion, complete genome >gi|2700651136|gb|PP032968.1| Cynoscion striatus mitochondrion, complete genome	NC_087995	98.18	2.59675e-73	156.0
motu132	Nibea miichthioides mitochondrion, complete genome >gi|1010923150|gb|KU738606.1| Nibea miichthioides mitochondrion, complete genome	NC_029875	96.99	1.56284e-70	151.0
motu132	Argyrosomus japonicus mitochondrial gene for 12S rRNA, partial sequence, specimen_voucher: KAUM:I:63690	LC036877	96.99	1.56284e-70	151.0
motu132	Argyrosomus japonicus mitochondrion, complete genome	KT184692	96.99	1.56284e-70	151.0
motu132	Argyrosomus amoyensis mitochondrion, complete genome >gi|727355093|gb|KM257863.1| Argyrosomus amoyensis mitochondrion, complete genome	NC_025937	96.99	1.56284e-70	151.0
motu132	Argyrosomus japonicus CBM:ZF:20777 mitochondrial gene for 12S rRNA, partial sequence	LC597200	96.99	1.56284e-70	151.0
motu132	Argyrosomus japonicus mitochondrion, complete genome >gi|381278416|gb|JQ728563.1| Argyrosomus japonicus mitochondrion, complete genome	NC_017610	96.99	1.56284e-70	151.0
motu132	Cynoscion arenarius voucher USNM:FISH:419936 mitochondrion, complete genome	OP057008	96.43	5.62097e-70	150.0
motu132	Cynoscion nothus isolate 64003 small subunit ribosomal RNA gene, partial sequence; mitochondrial	OR428555	96.43	5.62097e-70	150.0
motu132	Cynoscion arenarius isolate 45896 small subunit ribosomal RNA gene, partial sequence; mitochondrial	OP154145	96.43	5.62097e-70	150.0
motu132	Totoaba macdonaldi voucher USNM:FISH:455344 mitochondrion, complete genome >gi|2569352283|gb|OR482501.1| Totoaba macdonaldi voucher USNM:FISH:455344 mitochondrion, complete genome	NC_082752	96.41	7.27118e-69	148.0
motu132	Argyrosomus regius isolate BARC-016 small subunit ribosomal RNA gene, partial sequence; mitochondrial	ON000317	96.39	7.27118e-69	148.0
